id,name,category,shape,altMax,altMin,spaceType,timeValid,daysActive,timeRange,capacity.small,capacity.medium,capacity.large,czml
KY25000016,德清县政府,禁飞区,多边形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,4103400,82056,2430,"{""id"": ""KY25000016"", ""name"": ""德清县政府"", ""polygon"": {""positions"": {""cartographicDegrees"": [119.96755741489436, 30.54698419368221, 0, 119.96718491511004, 30.543756390333396, 0, 119.96718566187236, 30.543216341583147, 0, 119.9673112799678, 30.54268724013851, 0, 119.96755673426831, 30.542190285567447, 0, 119.9679121885416, 30.541745389094057, 0, 119.96836339979268, 30.54137037590147, 0, 119.96889228906582, 30.541080271047715, 0, 119.96947766581616, 30.54088669758541, 0, 119.97009607682968, 30.5407974109793, 0, 119.97434227098286, 30.540556196590696, 0, 119.97495320680513, 30.540572953534625, 0, 119.9755487348182, 30.540691571338552, 0, 119.97610618208944, 30.54090753400666, 0, 119.97660432515715, 30.541212619404934, 0, 119.97702419792012, 30.541595212225143, 0, 119.97734981367488, 30.542040746119103, 0, 119.97756877382324, 30.54253225818675, 0, 119.97767274007154, 30.543051034724467, 0, 119.97793442166322, 30.546124410414755, 0, 119.97792085432584, 30.546640589628737, 0, 119.9777933606612, 30.54714509099515, 0, 119.9775566082137, 30.547619437914097, 0, 119.97721926629416, 30.5480462578872, 0, 119.97679368866488, 30.548409918829623, 0, 119.97629546120544, 30.54869710166622, 0, 119.97574283111148, 30.5488972882265, 0, 119.97515603853076, 30.54900314655408, 0, 119.97102063352295, 30.54939879110002, 0, 119.97040204354704, 30.54940503658074, 0, 119.96979408993796, 30.549306475475827, 0, 119.96922048083252, 30.549106951346356, 0, 119.96870358473296, 30.54881424494616, 0, 119.96826355805892, 30.548439770730923, 0, 119.96791755905564, 30.54799813164695, 0, 119.96767907872844, 30.54750654957837, 0, 119.96755741489436, 30.54698419368221, 0]}, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 0, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY25000051,县公安局,禁飞区,多边形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,128850,2568,70,"{""id"": ""KY25000051"", ""name"": ""县公安局"", ""polygon"": {""positions"": {""cartographicDegrees"": [119.9876436238621, 30.543993107516357, 0, 119.98758080026762, 30.542866925241732, 0, 119.9878469803128, 30.54286073201824, 0, 119.98796881747164, 30.542812938684644, 0, 119.98809460047347, 30.54231059746997, 0, 119.98925263876332, 30.54222201587569, 0, 119.989372376672, 30.54385675063327, 0, 119.9876436238621, 30.543993107516357, 0]}, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 0, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY2600477,德清莫干山机场,禁飞区,圆形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,478915425,9578304,283800,"{""id"": ""KY2600477"", ""name"": ""德清莫干山机场"", ""position"": {""cartographicDegrees"": [120.1076832422069, 30.50265199224461, 60.0]}, ""ellipse"": {""semiMinorAxis"": 5700.669339142262, ""semiMajorAxis"": 5700.669339142262, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 165, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY2600478,康乾派出所,禁飞区,多边形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,296550,5928,170,"{""id"": ""KY2600478"", ""name"": ""康乾派出所"", ""polygon"": {""positions"": {""cartographicDegrees"": [120.05306311755452, 30.54264395535704, 0, 120.0554250344557, 30.542018355148684, 0, 120.05635295953984, 30.54196616984443, 0, 120.05628073694224, 30.54276888874158, 0, 120.05626877869508, 30.543592457134636, 0, 120.0561483003242, 30.54390521319224, 0, 120.05566626369432, 30.544082464604156, 0, 120.05516011723672, 30.544176315242225, 0, 120.05477448657764, 30.54430143294856, 0, 120.05419604606875, 30.544499531444032, 0, 120.05388271829702, 30.54455166826172, 0, 120.0538104113002, 30.544562096164217, 0, 120.05306311755452, 30.54264395535704, 0]}, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 0, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY2600479,下渚湖派出所,禁飞区,多边形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,43950,864,20,"{""id"": ""KY2600479"", ""name"": ""下渚湖派出所"", ""polygon"": {""positions"": {""cartographicDegrees"": [120.01708335325296, 30.50853654678458, 0, 120.01716129254066, 30.507940578887062, 0, 120.01720351923484, 30.507887166943092, 0, 120.0181390779179, 30.508069876731764, 0, 120.01815534961632, 30.508469064354035, 0, 120.01818460251944, 30.5086770944177, 0, 120.01825933563022, 30.508887937239695, 0, 120.01825933889737, 30.508927295030382, 0, 120.01805143310058, 30.508952599385697, 0, 120.01793123511752, 30.50893011072389, 0, 120.01756739159109, 30.508803608360715, 0, 120.01717756266554, 30.50861807107597, 0, 120.01708335325296, 30.50853654678458, 0]}, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 0, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY2600480,女子戒毒所,禁飞区,多边形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,1818225,36360,1070,"{""id"": ""KY2600480"", ""name"": ""女子戒毒所"", ""polygon"": {""positions"": {""cartographicDegrees"": [119.97264790409, 30.532580668740145, 0, 119.97262727616156, 30.532381891210026, 0, 119.97263273960024, 30.53185365557535, 0, 119.97275759754427, 30.531336462354236, 0, 119.97299706154556, 30.53085013886953, 0, 119.9733419499273, 30.530413328724563, 0, 119.97377903998527, 30.5300427771532, 0, 119.97429157501438, 30.529752689174384, 0, 119.9748599067064, 30.52955418513964, 0, 119.97546224829182, 30.52945487452738, 0, 119.97701741944124, 30.52933253344051, 0, 119.97761384498855, 30.529334726929587, 0, 119.97819897554868, 30.52943426075692, 0, 119.97875159593072, 30.529627526116755, 0, 119.9792516693942, 30.52990751574054, 0, 119.97968106399848, 30.530264077903993, 0, 119.9800242099634, 30.530684284428396, 0, 119.98026866422, 30.531152899346537, 0, 119.98040556168226, 30.531652931255632, 0, 119.98043800760787, 30.531856802715115, 0, 119.9804601458565, 30.53240198922614, 0, 119.98035450614488, 30.532939866964806, 0, 119.98012540541217, 30.533448445218617, 0, 119.97978220857244, 30.533906930830252, 0, 119.97933894589596, 30.53429657839757, 0, 119.9788137395418, 30.534601456788817, 0, 119.97822806266454, 30.53480910061308, 0, 119.97760586138448, 30.534911019988147, 0, 119.97603879927614, 30.53502827251307, 0, 119.97542577548812, 30.535022267045026, 0, 119.97482585207564, 30.534913528315215, 0, 119.97426201148856, 30.534706222007493, 0, 119.9737558535569, 30.534408289803576, 0, 119.97332676788513, 30.534031145077815, 0, 119.9729911910072, 30.533589235579058, 0, 119.97276197677397, 30.53309948986882, 0, 119.97264790409, 30.532580668740145, 0]}, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 0, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY2600481,钟管派出所,禁飞区,多边形,120,0,WG,否,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,48300,960,20,"{""id"": ""KY2600481"", ""name"": ""钟管派出所"", ""polygon"": {""positions"": {""cartographicDegrees"": [120.1780615494496, 30.64600166534079, 0, 120.17823164745968, 30.64503834853345, 0, 120.1791048214744, 30.645358900617847, 0, 120.1792000654846, 30.645462986798385, 0, 120.17912431745452, 30.64589328494991, 0, 120.17898956865244, 30.646255308712412, 0, 120.17804341023592, 30.646056461612034, 0, 120.1780615494496, 30.64600166534079, 0]}, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 0, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY2600482,禹越派出所,禁飞区,多边形,120,0,WG,否,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,6825,120,1,"{""id"": ""KY2600482"", ""name"": ""禹越派出所"", ""polygon"": {""positions"": {""cartographicDegrees"": [120.26677404592454, 30.516417165110298, 0, 120.26670751160614, 30.51609091059384, 0, 120.26710419758336, 30.51602765115893, 0, 120.26718628113856, 30.516362022422307, 0, 120.26677404592454, 30.516417165110298, 0]}, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 0, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY2600573,武警,禁飞区,圆形,120,0,WG,否,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,1877025,37536,1110,"{""id"": ""KY2600573"", ""name"": ""武警"", ""position"": {""cartographicDegrees"": [120.01249698264176, 30.589045913408462, 60.0]}, ""ellipse"": {""semiMinorAxis"": 356.98304016642226, ""semiMajorAxis"": 356.98304016642226, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 165, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY25000055,德清县轻轨,限飞区,多边形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,5569125,111360,3300,"{""id"": ""KY25000055"", ""name"": ""德清县轻轨"", ""polygon"": {""positions"": {""cartographicDegrees"": [119.9724998, 30.4970512, 0, 119.98699839798752, 30.49657354492542, 0, 119.98710621291114, 30.496556770581133, 0, 120.00119432820438, 30.492564928454676, 0, 120.0124892282003, 30.489661127888507, 0, 120.02309294030654, 30.48711759501168, 0, 120.02315855864356, 30.48709641221866, 0, 120.0232201614696, 30.48706543531274, 0, 120.02642954354512, 30.485129587257656, 0, 120.02650932051236, 30.48506831210633, 0, 120.02657345989014, 30.48499081921062, 0, 120.02661874457436, 30.484900995460713, 0, 120.02787255506732, 30.48151613857861, 0, 120.02787999720935, 30.481494348148896, 0, 120.0317341630605, 30.46918658326179, 0, 120.04484920686198, 30.45984005860441, 0, 120.04490868667148, 30.45978931388548, 0, 120.05367123877213, 30.45088431614613, 0, 120.06139876015726, 30.45205207881862, 0, 120.06148669231344, 30.452056638468196, 0, 120.06157382442142, 30.45204395579271, 0, 120.06165680804313, 30.452014518180288, 0, 120.0617324541645, 30.45196945690185, 0, 120.06179785574756, 30.45191050363706, 0, 120.06185049944612, 30.45183992392682, 0, 120.0618883621924, 30.451760430109815, 0, 120.06190998894223, 30.451675077088854, 0, 120.06191454859182, 30.45158714493267, 0, 120.06190186591634, 30.451500012824702, 0, 120.0618724283039, 30.451417029203004, 0, 120.06182736702549, 30.451341383081612, 0, 120.06176841376067, 30.45127598149855, 0, 120.06169783405043, 30.451223337799988, 0, 120.06161834023344, 30.451185475053727, 0, 120.06153298721247, 30.45116384830387, 0, 120.05357890773428, 30.44996184876926, 0, 120.05349441341905, 30.449957142797587, 0, 120.053410536085, 30.449968369030984, 0, 120.0533302532003, 30.449995128961884, 0, 120.05325641463764, 30.450036472669304, 0, 120.05319164150994, 30.450090932539, 0, 120.04429590448764, 30.459131280278317, 0, 120.03108994641929, 30.46854259560281, 0, 120.03101759397497, 30.468606980508923, 0, 120.03096072599035, 30.46868537900801, 0, 120.03092198661872, 30.46877414585664, 0, 120.02702617353911, 30.481214905616227, 0, 120.025830964147, 30.484441559691255, 0, 120.02281575356652, 30.486260286598966, 0, 120.01226908151094, 30.488790197898183, 0, 120.0009547209874, 30.491699140411207, 0, 119.98691419909066, 30.495677497034375, 0, 119.9718888859438, 30.496167248131037, 0, 119.97180444467844, 30.496178072662065, 0, 119.9717235625886, 30.496204635517852, 0, 119.97164914532136, 30.496245982441582, 0, 119.97158386627844, 30.49630062806649, 0, 119.97153007057555, 30.496366609276837, 0, 119.97148969079548, 30.49644155573189, 0, 119.9714641775608, 30.496522775019148, 0, 119.97145444742124, 30.496607349377857, 0, 119.97118579502728, 30.510288936807147, 0, 119.97119270349872, 30.510376715662908, 0, 119.97121660403106, 30.510461460096646, 0, 119.97125657814024, 30.510539913427305, 0, 119.97131108964363, 30.51060906073738, 0, 119.9713780436948, 30.510666244734523, 0, 119.97145486728706, 30.5107092678698, 0, 119.97153860813286, 30.51073647678824, 0, 119.97162604811844, 30.51074682586637, 0, 119.9717138269742, 30.510739917394925, 0, 119.97179857140792, 30.510716016862585, 0, 119.9718770247386, 30.510676042753406, 0, 119.97194617204866, 30.510621531249985, 0, 119.97200335604582, 30.510554577198825, 0, 119.97204637918108, 30.51047775360657, 0, 119.97207358809952, 30.51039401276078, 0, 119.97208393717766, 30.510306572775203, 0, 119.9723442, 30.4971026, 0, 119.9724998, 30.4970512, 0]}, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 0, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
